"","Program","PriorExp","Rexperience","OperatingSystem","TVhours","Editor"
"1","MISM","Some experience","Never used","Windows","1","Microsoft Word"
"2","Other","Some experience","Basic competence","Windows","8h","Microsoft Word"
"3","MISM","Extensive experience","Basic competence","Windows","4","Microsoft Word"
"4","PPM","Never programmed before","Installed on machine","Windows","5","Microsoft Word"
"5","Other","Never programmed before","Never used","Windows","3","Microsoft Word"
"6","PPM","Some experience","Never used","Mac OS X","~10","Microsoft Word"
"7","Other","Some experience","Never used","Mac OS X","0","Microsoft Word"
"8","MISM","Some experience","Never used","Windows","10","Microsoft Word"
"9","PPM","Never programmed before","Never used","Mac OS X","15 (incl movies)","Microsoft Word"
"10","PPM","Extensive experience","Never used","Windows","4","Microsoft Word"
"11","MISM","Extensive experience","Installed on machine","Mac OS X","0","Microsoft Word"
"12","PPM","Never programmed before","Never used","Windows","0","Microsoft Word"
"13","PPM","Some experience","Never used","Mac OS X","10","Microsoft Word"
"14","PPM","Never programmed before","Never used","Mac OS X","4","Microsoft Word"
"15","PPM","Some experience","Never used","Windows","10","Microsoft Word"
"16","PPM","Some experience","Never used","Mac OS X","2hours","Microsoft Word"
"17","PPM","Never programmed before","Installed on machine","Windows","5","Microsoft Word"
"18","MISM","Extensive experience","Never used","Mac OS X","3","Microsoft Word"
"19","MISM","Extensive experience","Never used","Windows","0","Microsoft Word"
"20","MISM","Some experience","Never used","Windows","1","Microsoft Word"
"21","PPM","Some experience","Installed on machine","Mac OS X","2","Microsoft Word"
"22","PPM","Never programmed before","Never used","Windows","7","Microsoft Word"
"23","MISM","Some experience","Never used","Windows","3","Microsoft Word"
"24","Other","Never programmed before","Never used","Mac OS X","10","Microsoft Word"
"25","PPM","Never programmed before","Never used","Mac OS X","6.5","Microsoft Word"
"26","PPM","Never programmed before","Installed on machine","Mac OS X","40","Microsoft Word"
"27","MISM","Some experience","Never used","Mac OS X","0","Microsoft Word"
"28","PPM","Some experience","Installed on machine","Windows","12","Microsoft Word"
"29","Other","Never programmed before","Never used","Mac OS X","adfjalkj","Microsoft Word"
"30","Other","Never programmed before","Never used","Windows","3","Microsoft Word"
"31","MISM","Some experience","Installed on machine","Windows","0","Microsoft Word"
