"","Program","PriorExp","Rexperience","OperatingSystem","TVhours","Editor"
"1","PPM","Never programmed before","Never used","Windows",4,"Microsoft Word"
"2","PPM","Some experience","Basic competence","Mac OS X",5,"Microsoft Word"
"3","Other","Some experience","Installed on machine","Mac OS X",2,"Microsoft Word"
"4","PPM","Extensive experience","Installed on machine","Windows",5,"Microsoft Word"
"5","Other","Some experience","Never used","Mac OS X",3,"Microsoft Word"
"6","MISM","Extensive experience","Never used","Windows",15,"Microsoft Word"
"7","PPM","Some experience","Never used","Mac OS X",3,"Microsoft Word"
"8","PPM","Never programmed before","Basic competence","Mac OS X",2,"Microsoft Word"
"9","PPM","Never programmed before","Never used","Windows",0,"Microsoft Word"
"10","Other","Some experience","Installed on machine","Windows",2,"Microsoft Word"
"11","MISM","Some experience","Installed on machine","Mac OS X",0,"Microsoft Word"
"12","MISM","Some experience","Never used","Windows",7,"Microsoft Word"
"13","MISM","Some experience","Installed on machine","Mac OS X",3,"Microsoft Word"
"14","Other","Never programmed before","Never used","Windows",6.5,"none"
"15","MISM","Some experience","Never used","Windows",0,"Microsoft Word"
"16","Other","Never programmed before","Basic competence","Windows",0,"Microsoft Word"
"17","PPM","Some experience","Basic competence","Windows",5,"Microsoft Word"
"18","PPM","Never programmed before","Installed on machine","Windows",3,"Microsoft Word"
"19","MISM","Some experience","Basic competence","Windows",0,"Microsoft Word"
"20","MISM","Some experience","Never used","Windows",4,"Microsoft Word"
"21","Other","Never programmed before","Basic competence","Windows",3,"Microsoft Word"
"22","MISM","Some experience","Basic competence","Windows",4,"Microsoft Word"
"23","MISM","Some experience","Installed on machine","Windows",10,"Microsoft Word"
"24","PPM","Some experience","Never used","Windows",2.5,"Microsoft Word"
"25","PPM","Some experience","Basic competence","Windows",8,"Microsoft Word"
"26","PPM","Some experience","Basic competence","Windows",6,"LaTeX"
"27","PPM","Some experience","Basic competence","Mac OS X",0,"R Markdown"
"28","Other","Never programmed before","Installed on machine","Windows",0,"Microsoft Word"
"29","MISM","Some experience","Basic competence","Mac OS X",2,"Microsoft Word"
"30","MISM","Some experience","Basic competence","Mac OS X",4,"Microsoft Word"
"31","MISM","Some experience","Installed on machine","Windows",2,"Microsoft Word"
"32","PPM","Never programmed before","Installed on machine","Windows",4,"Microsoft Word"
"33","PPM","Some experience","Basic competence","Windows",4,"Microsoft Word"
"34","PPM","Some experience","Basic competence","Mac OS X",0,"Microsoft Word"
"35","PPM","Some experience","Never used","Mac OS X",5,"Google Docs"
"36","MISM","Some experience","Basic competence","Mac OS X",0,"Microsoft Word"
"37","PPM","Some experience","Installed on machine","Mac OS X",2,"Microsoft Word"
